sector_etf,provider_symbol,symbol,weight_pct,name,source_url,provider
AIQ,PLTR,PLTR,4.12,PALANTIR TECHNOLOGIES INC-A,https://assets.globalxetfs.com/funds/holdings/aiq_full-holdings_20260831.csv,GLOBALX
AIQ,MSFT,MSFT,3.62,MICROSOFT CORP,https://assets.globalxetfs.com/funds/holdings/aiq_full-holdings_20260831.csv,GLOBALX
AIQ,ORCL,ORCL,3.39,ORACLE CORP,https://assets.globalxetfs.com/funds/holdings/aiq_full-holdings_20260831.csv,GLOBALX
AIQ,SPCX,SPCX,3.31,SPACE EXPLORATION TECHN-CL A,https://assets.globalxetfs.com/funds/holdings/aiq_full-holdings_20260831.csv,GLOBALX
AIQ,NFLX,NFLX,3.21,NETFLIX INC,https://assets.globalxetfs.com/funds/holdings/aiq_full-holdings_20260831.csv,GLOBALX
AIQ,TSLA,TSLA,3.14,TESLA INC,https://assets.globalxetfs.com/funds/holdings/aiq_full-holdings_20260831.csv,GLOBALX
AIQ,AMZN,AMZN,3.03,AMAZON.COM INC,https://assets.globalxetfs.com/funds/holdings/aiq_full-holdings_20260831.csv,GLOBALX
AIQ,GOOGL,GOOGL,2.91,ALPHABET INC-CL A,https://assets.globalxetfs.com/funds/holdings/aiq_full-holdings_20260831.csv,GLOBALX
AIQ,NVDA,NVDA,2.88,NVIDIA CORP,https://assets.globalxetfs.com/funds/holdings/aiq_full-holdings_20260831.csv,GLOBALX
AIQ,005930 KS,005930 KS,2.81,SAMSUNG ELECTRONICS CO LTD,https://assets.globalxetfs.com/funds/holdings/aiq_full-holdings_20260831.csv,GLOBALX
AIQ,700 HK,700 HK,2.78,TENCENT HOLDINGS LTD,https://assets.globalxetfs.com/funds/holdings/aiq_full-holdings_20260831.csv,GLOBALX
AIQ,TSM,TSM,2.73,TAIWAN SEMICONDUCTOR-SP ADR,https://assets.globalxetfs.com/funds/holdings/aiq_full-holdings_20260831.csv,GLOBALX
AIQ,AAPL,AAPL,2.69,APPLE INC,https://assets.globalxetfs.com/funds/holdings/aiq_full-holdings_20260831.csv,GLOBALX
AIQ,CSCO,CSCO,2.67,CISCO SYSTEMS INC,https://assets.globalxetfs.com/funds/holdings/aiq_full-holdings_20260831.csv,GLOBALX
AIQ,MU,MU,2.64,MICRON TECHNOLOGY INC,https://assets.globalxetfs.com/funds/holdings/aiq_full-holdings_20260831.csv,GLOBALX
AIQ,META,META,2.58,META PLATFORMS INC,https://assets.globalxetfs.com/funds/holdings/aiq_full-holdings_20260831.csv,GLOBALX
AIQ,AVGO,AVGO,2.57,BROADCOM INC,https://assets.globalxetfs.com/funds/holdings/aiq_full-holdings_20260831.csv,GLOBALX
