date,gate,mri,bear_n,senti,picks
2026-07-02,Yellow,76.8,0,78.1,SNDK MU EVC MXL VICR ICHR ATEX AAOI RXT TE UCTT HYMC
2026-07-06,Yellow,78.0,0,77.8,SNDK EVC MXL VICR MU ATEX ICHR WDC ASX BAND VPG DOCN
2026-07-07,Red,74.2,2,71.7,SNDK AXTI EVC MXL VICR MU ATEX BAND ICHR WDC ASX DOCN
2026-07-08,Yellow,65.4,3,66.4,SNDK VICR EVC MXL MU ATEX BAND ICHR WDC DOCN ASX UCTT
2026-07-09,Yellow,69.4,2,67.1,SNDK MXL EVC VICR MU ICHR ATEX BAND WDC ASX STX DOCN
2026-07-10,Yellow,69.0,2,60.5,SNDK MXL VICR EVC ICHR MU WDC BAND ATEX STX UCTT ASX
2026-07-29,Red,50.7,1,30.0,EVC ATEX MU STX VSTS VSXY LIND DELL UMC FCEL NWPX VPG
2026-07-30,Red,64.3,0,33.1,EVC ATEX WDC MU STX FCEL VSTS IRDM UMC VSXY DELL VPG
2026-08-03,Green,68.6,0,27.9,EVC ATEX MU ICHR DOCN LIND VSTS DELL FCEL UMC VSXY VPG
2026-07-31,Red,65.0,0,30.8,EVC ATEX WDC STX MU FCEL VSTS VSXY UMC VPG DELL LIND
2026-08-04,Green,72.1,0,30.3,EVC ATEX AEHR MU LIND DELL FCEL UMC VSTS SEZL VPG VSXY
2026-08-05,Blue,71.3,0,31.5,EVC ATEX MU DELL LIND FET SEZL VSTS MEI MTRN VSXY UMC
2026-08-06,Blue,69.9,0,30.7,EVC ATEX MU LIND SEZL DELL VSTS FET VSXY UMC PENG KFRC
2026-08-07,Blue,72.6,0,35.5,EVC ATEX MU DELL IRDM VSTS VSXY FCEL LIND PENG AYA FET
2026-08-10,Blue,73.1,0,47.2,ATEX EVC FSLY DELL NESR AYA FET VSXY LIND VSTS ACMR PENG
2026-08-11,Blue,74.4,0,50.2,ATEX BLZE DELL NESR FET AYA LIND VSTS PENG FSLY VSXY FTK
2026-08-12,Blue,75.3,0,56.7,AEHR ATEX BLZE DELL FET LIND NESR AYA PENG VSXY VAC ACMR
2026-08-13,Blue,75.6,0,63.1,ATEX BLZE DELL LIND FET NESR VSXY CLMT HPE FSLY RNG VAC
