ticker,holder,shares,date_reported,pct_out,value,source,fetched_at
A,Blackrock Inc.,25902662,2026-03-31,,3441427689,yfinance,2026-07-22T12:20:48.089065Z
A,Vanguard Capital Management LLC,18381030,2026-03-31,,2442103657,yfinance,2026-07-22T12:20:48.089065Z
A,Vanguard Portfolio Management LLC,14352682,2026-03-31,,1906897339,yfinance,2026-07-22T12:20:48.089065Z
A,State Street Corporation,12764632,2026-03-31,,1695909015,yfinance,2026-07-22T12:20:48.089065Z
A,Massachusetts Financial Services Co.,12624090,2026-03-31,,1677236605,yfinance,2026-07-22T12:20:48.089065Z
A,"T. Rowe Price Investment Management, Inc.",8992649,2026-03-31,,1194763351,yfinance,2026-07-22T12:20:48.089065Z
A,"Geode Capital Management, LLC",7522028,2026-03-31,,999376644,yfinance,2026-07-22T12:20:48.089065Z
A,"Wellington Management Group, LLP",7256433,2026-03-31,,964089692,yfinance,2026-07-22T12:20:48.089065Z
A,Deutsche Bank AG,5984118,2026-03-31,,795049921,yfinance,2026-07-22T12:20:48.089065Z
A,Morgan Stanley,4949129,2026-03-31,,657541281,yfinance,2026-07-22T12:20:48.089065Z
AA,Blackrock Inc.,28392633,2026-03-31,,1259213230,yfinance,2026-07-22T12:20:48.089065Z
AA,Eagle Capital Management LLC,14097362,2026-03-31,,625217983,yfinance,2026-07-22T12:20:48.089065Z
AA,"FMR, LLC",12852778,2026-03-31,,570020684,yfinance,2026-07-22T12:20:48.089065Z
AA,Vanguard Portfolio Management LLC,12644935,2026-03-31,,560802847,yfinance,2026-07-22T12:20:48.089065Z
AA,Vanguard Capital Management LLC,11776650,2026-03-31,,522294409,yfinance,2026-07-22T12:20:48.089065Z
AA,State Street Corporation,10881537,2026-03-31,,482596149,yfinance,2026-07-22T12:20:48.089065Z
AA,Dimensional Fund Advisors LP,8625297,2026-03-31,,382531908,yfinance,2026-07-22T12:20:48.089065Z
AA,"Geode Capital Management, LLC",5942801,2026-03-31,,263563215,yfinance,2026-07-22T12:20:48.089065Z
AA,"AQR Capital Management, LLC",5171649,2026-03-31,,229362625,yfinance,2026-07-22T12:20:48.089065Z
AA,Morgan Stanley,4095810,2026-03-31,,181649167,yfinance,2026-07-22T12:20:48.089065Z
